N,P,K,temperature,humidity,ph,rainfall,label
13.07,31.35,39.16,34.81,72.92,5.35,151.48,mango
102.89,31.04,27.59,27.6,54.81,6.02,150.22,coffee
25.72,19.7,37.96,20.88,90.08,5.92,119.58,pomegranate
108.59,85.97,59.32,27.79,78.75,5.5,100.02,banana
19.61,147.51,223.83,21.95,85.2,6.38,86.1,grapes
75.85,54.68,37.81,22.05,79.34,6.36,187.3,jute
8.9,7.93,10.03,18.02,98.32,6.18,98.0,orange
102.13,38.68,12.55,23.05,77.02,5.95,94.0,cotton
28.35,27.13,31.9,32.62,44.2,5.83,97.51,mango
49.21,72.06,44.29,32.48,84.99,7.39,118.24,papaya
98.08,23.57,44.43,31.73,89.99,6.44,22.19,muskmelon
19.55,26.23,21.07,32.29,38.26,6.45,56.58,mothbeans
58.99,58.39,40.95,24.21,78.49,5.89,189.83,jute
42.83,64.51,95.07,20.47,19.67,7.63,103.47,chickpea
16.43,51.33,25.6,27.33,63.65,7.67,31.67,mothbeans
19.55,20.86,55.18,18.02,85.52,5.95,108.64,pomegranate
106.51,24.42,41.79,29.77,86.42,6.5,39.04,watermelon
26.24,56.11,14.04,29.26,44.44,6.86,24.71,mothbeans
144.0,40.51,14.89,24.59,83.58,7.26,60.76,cotton
57.87,63.6,66.14,33.09,93.73,6.12,124.38,papaya
99.17,21.55,62.9,27.19,84.58,7.19,12.12,watermelon
19.06,29.1,17.27,24.88,46.92,6.72,69.16,mothbeans
91.81,58.59,31.79,25.93,84.06,6.81,310.87,rice
34.42,20.27,42.18,25.74,96.11,6.44,152.59,coconut
17.43,49.13,17.82,21.98,49.12,6.62,62.67,mothbeans
19.06,48.02,26.42,31.82,51.89,6.57,48.88,mothbeans
97.53,63.62,20.26,20.74,68.68,5.96,145.4,maize
72.4,42.29,42.32,21.1,74.96,6.04,226.46,rice
67.61,40.82,27.16,22.12,74.98,5.96,93.37,maize
21.88,14.13,24.49,26.69,95.25,6.11,229.26,coconut
